ip, descr, country, submitted
45.142.120.31, SMTP auth brute force, Iran, 2020-10-04 14:09:18.342991
45.142.120.32, SMTP auth brute force, Iran, 2020-10-04 14:09:18.345771
120.79.188.144, FTP auth brute force, China, 2020-10-04 14:09:18.342991
101.89.116.39, FTP auth brute force, China, 2020-10-04 14:09:18.342991
83.97.20.31, Port scanning, Romania, 2020-10-04 16:42:50.733188
222.186.30.218, ssh malicious, China, 2020-10-04 20:41:24.927209
139.162.247.102, ssh malicious, United Kingdom, 2020-10-05 07:40:04.438907
82.102.16.195, FTP auth brute force, Germany, 2020-10-06 07:30:26.933858
103.78.242.69, slothfulmedia malware, Malaysia, 2020-10-07 06:41:54.983341
122.51.173.33, FTP auth brute force, China, 2020-10-07 06:41:54.983611
198.12.66.108, AgentTesla LimeRat, United States, 2020-10-08 09:00:46.865506
31.145.137.246, FTP auth brute force, Turkey, 2020-10-08 13:14:16.883008
185.57.31.12, FTP auth brute force, Russia, 2020-10-09 16:49:51.645807
45.142.120.60, FTP auth brute force, Iran, 2020-10-11 00:13:21.177411
39.100.156.159, Port scanning, China, 2020-10-12 08:15:02.877366
39.98.150.44, Port scanning, China, 2020-10-13 06:52:07.584300
45.142.120.74, FTP auth brute force, Iran, 2020-10-14 08:26:14.053742
